title,store,original_price,current_price,unit_price,unit,image_url
SALDĒJUMS KARLSONS AVEŅU 75G,etop.lv,0.75 € - 0.85 €,0.55,7.33,€/kg,https://cdn.etop.lv/products/4750025904161-328x328.png
KEFĪRS OPĀ 2.5% 900G,etop.lv,,0.75,0.83,€/kg,https://cdn.etop.lv/products/4751023453873-328x328.png
DRAŽEJAS M&MS ŠOKOLĀDES 82G,etop.lv,2.25 € - 2.35 €,1.69,20.61,€/kg,https://cdn.etop.lv/products/5000159503983-328x328.png
DRAŽEJAS M&MS ZEMESRIEKSTU 82G,etop.lv,2.25 € - 2.35 €,1.69,20.61,€/kg,https://cdn.etop.lv/products/5000159504355-328x328.png
ČIPSI ĀDAŽU AR GARŠVIELĀM NR.1 130G,etop.lv,2.09 € - 2.29 €,1.69,13.00,€/kg,https://cdn.etop.lv/products/4750024004206-328x328.png
ČIPSI ĀDAŽU AR GARŠVIELĀM NR.2 130G,etop.lv,2.09 € - 2.29 €,1.69,13.00,€/kg,https://cdn.etop.lv/products/4750024004220-328x328.png
KAFIJAS DZĒRIENS LOFBERG ICE CREAMY COOKIE 230ML,etop.lv,,1.79,7.78,€/l,https://cdn.etop.lv/products/7310050005072-328x328.png
TĒJA MELNĀ LIPTON YELLOW LABEL 2GX25,etop.lv,2.19 € - 2.39 €,1.79,,,https://cdn.etop.lv/products/5063270118870-328x328.png
SVIESTS TIP TOP SALDKRĒJUMA 82% 180G,etop.lv,,1.15,6.39,€/kg,https://cdn.etop.lv/products/4751023454030-328x328.png
RUDZU MAIZE DRUVA SPĒKAVOTA PILNGRAUDU 400G,etop.lv,,1.10,2.75,€/kg,https://cdn.etop.lv/products/4750212904226-328x328.png
D ALUS BEZALK. PIEBALGAS GAUJAS 0% 0.5L STIKLS,etop.lv,,1.15,2.30,€/l,https://cdn.etop.lv/products/4750142008339-328x328.png
CEPUMI SELGA AR ŠOK. BRAUNIJA LAZDU RIEKSTU GARŠU 180G,etop.lv,1.39 € - 1.49 €,0.89,4.94,€/kg,https://cdn.etop.lv/products/4750007000638-328x328.png
VEĻAS MAZG.LĪDZ.KASTANIS COLOR 3IN1 1.8L,etop.lv,6.09 € - 6.49 €,5.39,2.99,€/l,https://cdn.etop.lv/products/4750104005338-328x328.png
PIENS OPĀ 2.5% 0.9L,etop.lv,,0.54,0.60,€/l,https://cdn.etop.lv/products/4751023453903-328x328.png
RUDZU MAIZE LATVIJAS MAIZNIEKS LIELMAIZE RUPJĀ MALUMA 600G,etop.lv,,1.84,3.07,€/kg,https://cdn.etop.lv/products/4750192733724-328x328.png
KOŠĻĀJAMAS KONFEKTES SKITTLES SMOOTHIES 95G,etop.lv,1.99 € - 2.49 €,1.59,16.74,€/kg,https://cdn.etop.lv/products/4009900531559-328x328.png
SALAMI TIP TOP KARSTI KŪPINĀTA 400G,etop.lv,,2.49,6.22,€/kg,https://cdn.etop.lv/products/4751023453880-328x328.png
BARĪBA KAĶIEM SAUSĀ FRISKIES VISTA-DĀRZEŅI 800G,etop.lv,3.09 € - 3.39 €,2.49,3.11,€/kg,https://cdn.etop.lv/products/8445291714182-328x328.png
BARĪBA KAĶIEM SAUSĀ FRISKIES LIELL.-VISTA-DĀRZEŅI 800G,etop.lv,3.09 € - 3.39 €,2.49,3.11,€/kg,https://cdn.etop.lv/products/8445291714328-328x328.png
PIENA ŠOKOLĀDE MILKA DAIM 90G,etop.lv,2.09 € - 2.29 €,1.69,18.78,€/kg,https://cdn.etop.lv/products/7622202355172-328x328.png
TĪR.LĪDZEKLIS MAYERI KANALIZĀCIJAS CAURULĒM 1L,etop.lv,1.89 € - 2.09 €,1.49,1.49,€/l,https://cdn.etop.lv/products/4740060003363-328x328.png
DESA RĪGAS MIESNIEKS ŠĶIŅĶA ŠĶĒLĒS 150G,etop.lv,1.69 € - 1.89 €,1.29,8.60,€/kg,https://cdn.etop.lv/products/4750174003050-328x328.png
KAFIJA MALTA MERRILD IN CUP 400G,etop.lv,10.99 € - 12.79 €,6.49,16.22,€/kg,https://cdn.etop.lv/products/8000070060326-328x328.png
GRAUDAINAIS BIEZPIENS SMILTENE 0.5% 400G,etop.lv,2.59 € - 2.99 €,2.49,6.22,€/kg,https://cdn.etop.lv/products/4750109003162-328x328.png
SIERS MOZZARELLA MINI TIP TOP 100G,etop.lv,,1.29,12.90,€/kg,https://cdn.etop.lv/products/4751023453835-328x328.png
SIERS ČEDARS LATGALE 50% SVERAMS FASĒTS,etop.lv,,9.90,,,https://cdn.etop.lv/products/2383302600000-328x328.png
HIGIĒNISKĀS PAKETES VESMA ESSENTIALS DAY 10GAB,etop.lv,1.29 € - 1.49 €,0.99,,,https://cdn.etop.lv/products/5900095036685-328x328.png
HIGIĒNISKĀS PAKETES VESMA ESSENTIALS NIGHT 8GAB,etop.lv,1.29 € - 1.49 €,0.99,,,https://cdn.etop.lv/products/5900095036692-328x328.png
PIENA MAISĪJUMS NESTLE NAN OPTIPRO PLUS 2 800G,etop.lv,,22.99,28.74,€/kg,https://cdn.etop.lv/products/7613034820655-328x328.png
PIENA MAISĪJUMS NESTLE NAN OPTIPRO PLUS 3 800G,etop.lv,,22.99,28.74,€/kg,https://cdn.etop.lv/products/7613034820686-328x328.png
JOGURTS LAKTO PROTEIN ĶIRŠU 200G,etop.lv,1.35 € - 1.39 €,0.99,4.95,€/kg,https://cdn.etop.lv/products/4750025001952-328x328.png
"JOGURTS LAKTO PROTEIN AVEŅU, SĒKLU 200G",etop.lv,1.35 € - 1.39 €,0.99,4.95,€/kg,https://cdn.etop.lv/products/4750025001938-328x328.png
